# requirement_level_code	M	M	M	M	R	R	R	R	O	O	R	R	R	R	R	R	O
# section	PCR	PCR	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Bioinformatics	User defined
samp_name	assay_name	pcr_plate_id	lib_id	seq_run_id	lib_conc	lib_conc_unit	lib_conc_meth	phix_perc	mid_forward	mid_reverse	filename	filename2	checksum_filename	checksum_filename2	associatedSequences	input_read_count	seq_samp_id
EX2301_D08_06W	Fish-12S-MiFish-Miya		D08-06-12S_S39_L001	OKEX2301_ROV-D2							D08-06-12S_S39_L001_R1_001.fastq.gz	D08-06-12S_S39_L001_R2_001.fastq.gz					
EX2301_D08_06W	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D08_06W_18S	OKEX2301_ROV-D2							EX2301_D08_06W_18S_R1.fastq.gz	EX2301_D08_06W_18S_R2.fastq.gz					
EX2301_D07_BLW	Metazoa-COI-Leray-Geller		D07-BLK_S38_L001	OKEX2301_ROV-D2							D07-BLK_S38_L001_R1_001.fastq.gz	D07-BLK_S38_L001_R2_001.fastq.gz					
EX2301_D07_BLW	Fish-12S-MiFish-Miya		D07-BLK-12S_S38_L001	OKEX2301_ROV-D2							D07-BLK-12S_S38_L001_R1_001.fastq.gz	D07-BLK-12S_S38_L001_R2_001.fastq.gz					
EX2301_D07_BLW	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D07_BLW_18S	OKEX2301_ROV-D2							EX2301_D07_BLW_18S_R1.fastq.gz	EX2301_D07_BLW_18S_R2.fastq.gz					
EX2301_D07_09W	Metazoa-COI-Leray-Geller		D07-09_S37_L001	OKEX2301_ROV-D2							D07-09_S37_L001_R1_001.fastq.gz	D07-09_S37_L001_R2_001.fastq.gz					
EX2301_D07_09W	Fish-12S-MiFish-Miya		D07-09-12S_S37_L001	OKEX2301_ROV-D2							D07-09-12S_S37_L001_R1_001.fastq.gz	D07-09-12S_S37_L001_R2_001.fastq.gz					
EX2301_D07_09W	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D07_09W_18S	OKEX2301_ROV-D2							EX2301_D07_09W_18S_R1.fastq.gz	EX2301_D07_09W_18S_R2.fastq.gz					
EX2301_D07_08W	Metazoa-COI-Leray-Geller		D07-08_S36_L001	OKEX2301_ROV-D2							D07-08_S36_L001_R1_001.fastq.gz	D07-08_S36_L001_R2_001.fastq.gz					
EX2301_D07_08W	Fish-12S-MiFish-Miya		D07-08-12S_S36_L001	OKEX2301_ROV-D2							D07-08-12S_S36_L001_R1_001.fastq.gz	D07-08-12S_S36_L001_R2_001.fastq.gz					
EX2301_D07_08W	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D07_08W_18S	OKEX2301_ROV-D2							EX2301_D07_08W_18S_R1.fastq.gz	EX2301_D07_08W_18S_R2.fastq.gz					
EX2301_D07_07W	Metazoa-COI-Leray-Geller		D07-07_S35_L001	OKEX2301_ROV-D2							D07-07_S35_L001_R1_001.fastq.gz	D07-07_S35_L001_R2_001.fastq.gz					
EX2301_D07_07W	Fish-12S-MiFish-Miya		D07-07-12S_S35_L001	OKEX2301_ROV-D2							D07-07-12S_S35_L001_R1_001.fastq.gz	D07-07-12S_S35_L001_R2_001.fastq.gz					
EX2301_D07_07W	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D07_07W_18S	OKEX2301_ROV-D2							EX2301_D07_07W_18S_R1.fastq.gz	EX2301_D07_07W_18S_R2.fastq.gz					
EX2301_D07_06W	Metazoa-COI-Leray-Geller		D07-06_S34_L001	OKEX2301_ROV-D2							D07-06_S34_L001_R1_001.fastq.gz	D07-06_S34_L001_R2_001.fastq.gz					
EX2301_D07_06W	Fish-12S-MiFish-Miya		D07-06-12S_S34_L001	OKEX2301_ROV-D2							D07-06-12S_S34_L001_R1_001.fastq.gz	D07-06-12S_S34_L001_R2_001.fastq.gz					
EX2301_D07_06W	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D07_06W_18S	OKEX2301_ROV-D2							EX2301_D07_06W_18S_R1.fastq.gz	EX2301_D07_06W_18S_R2.fastq.gz					
EX2301_D07_05W	Metazoa-COI-Leray-Geller		D07-05_S33_L001	OKEX2301_ROV-D2							D07-05_S33_L001_R1_001.fastq.gz	D07-05_S33_L001_R2_001.fastq.gz					
EX2301_D07_05W	Fish-12S-MiFish-Miya		D07-05-12S_S33_L001	OKEX2301_ROV-D2							D07-05-12S_S33_L001_R1_001.fastq.gz	D07-05-12S_S33_L001_R2_001.fastq.gz					
EX2301_D07_05W	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D07_05W_18S	OKEX2301_ROV-D2							EX2301_D07_05W_18S_R1.fastq.gz	EX2301_D07_05W_18S_R2.fastq.gz					
EX2301_D06_BLW	Metazoa-COI-Leray-Geller		D06-BLK_S32_L001	OKEX2301_ROV-D2							D06-BLK_S32_L001_R1_001.fastq.gz	D06-BLK_S32_L001_R2_001.fastq.gz					
EX2301_D06_BLW	Fish-12S-MiFish-Miya		D06-BLK-12S_S32_L001	OKEX2301_ROV-D2							D06-BLK-12S_S32_L001_R1_001.fastq.gz	D06-BLK-12S_S32_L001_R2_001.fastq.gz					
EX2301_D06_BLW	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D06_BLW_18S	OKEX2301_ROV-D2							EX2301_D06_BLW_18S_R1.fastq.gz	EX2301_D06_BLW_18S_R2.fastq.gz					
EX2301_D06_06W	Metazoa-COI-Leray-Geller		D06-06_S31_L001	OKEX2301_ROV-D2							D06-06_S31_L001_R1_001.fastq.gz	D06-06_S31_L001_R2_001.fastq.gz					
EX2301_D06_06W	Fish-12S-MiFish-Miya		D06-06-12S_S31_L001	OKEX2301_ROV-D2							D06-06-12S_S31_L001_R1_001.fastq.gz	D06-06-12S_S31_L001_R2_001.fastq.gz					
EX2301_D06_06W	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D06_06W_18S	OKEX2301_ROV-D2							EX2301_D06_06W_18S_R1.fastq.gz	EX2301_D06_06W_18S_R2.fastq.gz					
EX2301_D06_05W	Metazoa-COI-Leray-Geller		D06-05_S30_L001	OKEX2301_ROV-D2							D06-05_S30_L001_R1_001.fastq.gz	D06-05_S30_L001_R2_001.fastq.gz					
EX2301_D06_05W	Fish-12S-MiFish-Miya		D06-05-12S_S30_L001	OKEX2301_ROV-D2							D06-05-12S_S30_L001_R1_001.fastq.gz	D06-05-12S_S30_L001_R2_001.fastq.gz					
EX2301_D06_05W	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D06_05W_18S	OKEX2301_ROV-D2							EX2301_D06_05W_18S_R1.fastq.gz	EX2301_D06_05W_18S_R2.fastq.gz					
EX2301_D06_04W	Metazoa-COI-Leray-Geller		D06-04_S29_L001	OKEX2301_ROV-D2							D06-04_S29_L001_R1_001.fastq.gz	D06-04_S29_L001_R2_001.fastq.gz					
EX2301_D06_04W	Fish-12S-MiFish-Miya		D06-04-12S_S29_L001	OKEX2301_ROV-D2							D06-04-12S_S29_L001_R1_001.fastq.gz	D06-04-12S_S29_L001_R2_001.fastq.gz					
EX2301_D06_04W	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D06_04W_18S	OKEX2301_ROV-D2							EX2301_D06_04W_18S_R1.fastq.gz	EX2301_D06_04W_18S_R2.fastq.gz					
EX2301_D06_03W	Metazoa-COI-Leray-Geller		D06-03_S28_L001	OKEX2301_ROV-D2							D06-03_S28_L001_R1_001.fastq.gz	D06-03_S28_L001_R2_001.fastq.gz					
EX2301_D06_03W	Fish-12S-MiFish-Miya		D06-03-12S_S28_L001	OKEX2301_ROV-D2							D06-03-12S_S28_L001_R1_001.fastq.gz	D06-03-12S_S28_L001_R2_001.fastq.gz					
EX2301_D06_03W	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D06_03W_18S	OKEX2301_ROV-D2							EX2301_D06_03W_18S_R1.fastq.gz	EX2301_D06_03W_18S_R2.fastq.gz					
EX2301_D06_02W	Metazoa-COI-Leray-Geller		D06-02_S27_L001	OKEX2301_ROV-D2							D06-02_S27_L001_R1_001.fastq.gz	D06-02_S27_L001_R2_001.fastq.gz					
EX2301_D06_02W	Fish-12S-MiFish-Miya		D06-02-12S_S27_L001	OKEX2301_ROV-D2							D06-02-12S_S27_L001_R1_001.fastq.gz	D06-02-12S_S27_L001_R2_001.fastq.gz					
EX2301_D06_02W	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D06_02W_18S	OKEX2301_ROV-D2							EX2301_D06_02W_18S_R1.fastq.gz	EX2301_D06_02W_18S_R2.fastq.gz					
EX2301_D04_BLW	Metazoa-COI-Leray-Geller		D04-BLK_S24_L001	OKEX2301_ROV-D2							D04-BLK_S24_L001_R1_001.fastq.gz	D04-BLK_S24_L001_R2_001.fastq.gz					
EX2301_D04_BLW	Fish-12S-MiFish-Miya		D04-BLK-12S_S24_L001	OKEX2301_ROV-D2							D04-BLK-12S_S24_L001_R1_001.fastq.gz	D04-BLK-12S_S24_L001_R2_001.fastq.gz					
EX2301_D04_BLW	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D04_BLW_18S	OKEX2301_ROV-D2							EX2301_D04_BLW_18S_R1.fastq.gz	EX2301_D04_BLW_18S_R2.fastq.gz					
EX2301_D04_06W	Metazoa-COI-Leray-Geller		D04-06_S23_L001	OKEX2301_ROV-D2							D04-06_S23_L001_R1_001.fastq.gz	D04-06_S23_L001_R2_001.fastq.gz					
EX2301_D04_06W	Fish-12S-MiFish-Miya		D04-06-12S_S23_L001	OKEX2301_ROV-D2							D04-06-12S_S23_L001_R1_001.fastq.gz	D04-06-12S_S23_L001_R2_001.fastq.gz					
EX2301_D04_06W	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D04_06W_18S	OKEX2301_ROV-D2							EX2301_D04_06W_18S_R1.fastq.gz	EX2301_D04_06W_18S_R2.fastq.gz					
EX2301_D04_05W	Metazoa-COI-Leray-Geller		D04-05_S22_L001	OKEX2301_ROV-D2							D04-05_S22_L001_R1_001.fastq.gz	D04-05_S22_L001_R2_001.fastq.gz					
EX2301_D04_05W	Fish-12S-MiFish-Miya		D04-05-12S_S22_L001	OKEX2301_ROV-D2							D04-05-12S_S22_L001_R1_001.fastq.gz	D04-05-12S_S22_L001_R2_001.fastq.gz					
EX2301_D04_05W	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D04_05W_18S	OKEX2301_ROV-D2							EX2301_D04_05W_18S_R1.fastq.gz	EX2301_D04_05W_18S_R2.fastq.gz					
EX2301_D04_04W	Metazoa-COI-Leray-Geller		D04-04_S21_L001	OKEX2301_ROV-D2							D04-04_S21_L001_R1_001.fastq.gz	D04-04_S21_L001_R2_001.fastq.gz					
