featureid	Control10_20190721	Control12_20190731	Control9_20190715	ExtNeg_20190910	ExtNeg_20190918	ExtNeg_20191028	ExtNeg_20191031	GU190706-CTD11-220	GU190707-CTD13-310	GU190707-CTD14-315	GU190708-CTD16-252	GU190708-CTD17-171	GU190709-CTD20-280	GU190710-CTD22-245	GU190710-CTD23-190	GU190714-CTD25-185	GU190714-CTD26-260	GU190715-CTD28-310	GU190721-CTD31-205	GU190722-CTD33-205	GU190724-CTD36-310	GU190727-CTD40-210	GU190727-CTD41B-145	GU190728-CTD43-245	GU190728-CTD44B-125	GU190729-CTD46-240	GU190729-CTD47-140	GU190731-CTD50-150	PCRNeg
434385c712677c9a3f9731d47714bb2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5617	0	0	0	0	0
5ae62f9b1b90cd39541ee515bbf3f7e0	0	0	0	0	0	0	0	0	0	0	272	0	0	0	0	5	0	0	0	0	0	0	0	5263	0	0	0	0	3
a15340d05f02f8c5ad3e0106b7bff588	0	0	0	0	0	0	0	0	0	0	0	0	4411	0	0	0	0	0	0	0	0	0	0	1069	0	0	0	0	0
435226fa22b1fce806b14bcae0b64033	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1928	0	0	2579	0	840	0	0	0	0	0	0
8a24db46ca2e77766fea177145324672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5169	0	0	0	0	0	0	0
d28a7a630839fe6e00cb7e946212f7da	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4845	0	0	0	0	0	0	0	0	0	0	0
4d4ebc359d121763ce3b47beefc0468b	0	0	0	0	0	0	0	182	3	0	0	0	0	0	0	3916	223	0	0	0	171	5	0	0	0	0	0	0	2
7c7ad5cb838aa2d2dca370af14fdfae8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4341	0	0	0	0	0	0	0
b98d245c042075fa94c4a01ffd4f9db8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4188	0	0	0	0	0	0	0	0	0	0	0	0	0
aee9c947e84ca5a60129bc83edd5ee39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3765	0	0	0	0	0
