# requirement_level_code	M	M	M	M	R	R	R	R	O	O	R	R	R	R	R	R
# section	PCR	PCR	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Bioinformatics
samp_name	assay_name	pcr_plate_id	lib_id	seq_run_id	lib_conc	lib_conc_unit	lib_conc_meth	phix_perc	mid_forward	mid_reverse	filename	filename2	checksum_filename	checksum_filename2	associatedSequences	input_read_count
PCRNeg	Fish-12S-MiFish-Miya-Stoeckle	not provided	PCRNeg_MiFish_S54	rosel_mifish			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			PCRNeg_MiFish_S54_L001_R1_001.fastq.gz	PCRNeg_MiFish_S54_L001_R2_001.fastq.gz				
GU190706-CTD11-220	Fish-12S-Riaz	not provided	GU190706-CTD11-220_Riaz_S1	rosel_riaz			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190706-CTD11-220_Riaz_S1_L001_R1_001.fastq.gz	GU190706-CTD11-220_Riaz_S1_L001_R2_001.fastq.gz				
GU190707-CTD13-310	Fish-12S-Riaz	not provided	GU190707-CTD13-310_Riaz_S2	rosel_riaz			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190707-CTD13-310_Riaz_S2_L001_R1_001.fastq.gz	GU190707-CTD13-310_Riaz_S2_L001_R2_001.fastq.gz				
GU190707-CTD14-315	Fish-12S-Riaz	not provided	GU190707-CTD14-315_Riaz_S3	rosel_riaz			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190707-CTD14-315_Riaz_S3_L001_R1_001.fastq.gz	GU190707-CTD14-315_Riaz_S3_L001_R2_001.fastq.gz				
GU190708-CTD16-252	Fish-12S-Riaz	not provided	GU190708-CTD16-252_Riaz_S4	rosel_riaz			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190708-CTD16-252_Riaz_S4_L001_R1_001.fastq.gz	GU190708-CTD16-252_Riaz_S4_L001_R2_001.fastq.gz				
GU190708-CTD17-171	Fish-12S-Riaz	not provided	GU190708-CTD17-171_Riaz_S5	rosel_riaz			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190708-CTD17-171_Riaz_S5_L001_R1_001.fastq.gz	GU190708-CTD17-171_Riaz_S5_L001_R2_001.fastq.gz				
GU190709-CTD20-280	Fish-12S-Riaz	not provided	GU190709-CTD20-280_Riaz_S6	rosel_riaz			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190709-CTD20-280_Riaz_S6_L001_R1_001.fastq.gz	GU190709-CTD20-280_Riaz_S6_L001_R2_001.fastq.gz				
GU190710-CTD22-245	Fish-12S-Riaz	not provided	GU190710-CTD22-245_Riaz_S7	rosel_riaz			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190710-CTD22-245_Riaz_S7_L001_R1_001.fastq.gz	GU190710-CTD22-245_Riaz_S7_L001_R2_001.fastq.gz				
GU190710-CTD23-190	Fish-12S-Riaz	not provided	GU190710-CTD23-190_Riaz_S8	rosel_riaz			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190710-CTD23-190_Riaz_S8_L001_R1_001.fastq.gz	GU190710-CTD23-190_Riaz_S8_L001_R2_001.fastq.gz				
GU190714-CTD25-185	Fish-12S-Riaz	not provided	GU190714-CTD25-185_Riaz_S9	rosel_riaz			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190714-CTD25-185_Riaz_S9_L001_R1_001.fastq.gz	GU190714-CTD25-185_Riaz_S9_L001_R2_001.fastq.gz				
GU190714-CTD26-260	Fish-12S-Riaz	not provided	GU190714-CTD26-260_Riaz_S10	rosel_riaz			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190714-CTD26-260_Riaz_S10_L001_R1_001.fastq.gz	GU190714-CTD26-260_Riaz_S10_L001_R2_001.fastq.gz				
GU190715-CTD28-310	Fish-12S-Riaz	not provided	GU190715-CTD28-310_Riaz_S11	rosel_riaz			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190715-CTD28-310_Riaz_S11_L001_R1_001.fastq.gz	GU190715-CTD28-310_Riaz_S11_L001_R2_001.fastq.gz				
GU190721-CTD31-205	Fish-12S-Riaz	not provided	GU190721-CTD31-205_Riaz_S12	rosel_riaz			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190721-CTD31-205_Riaz_S12_L001_R1_001.fastq.gz	GU190721-CTD31-205_Riaz_S12_L001_R2_001.fastq.gz				
GU190722-CTD33-205	Fish-12S-Riaz	not provided	GU190722-CTD33-205_Riaz_S13	rosel_riaz			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190722-CTD33-205_Riaz_S13_L001_R1_001.fastq.gz	GU190722-CTD33-205_Riaz_S13_L001_R2_001.fastq.gz				
GU190724-CTD36-310	Fish-12S-Riaz	not provided	GU190724-CTD36-310_Riaz_S14	rosel_riaz			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190724-CTD36-310_Riaz_S14_L001_R1_001.fastq.gz	GU190724-CTD36-310_Riaz_S14_L001_R2_001.fastq.gz				
GU190727-CTD40-210	Fish-12S-Riaz	not provided	GU190727-CTD40-210_Riaz_S15	rosel_riaz			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190727-CTD40-210_Riaz_S15_L001_R1_001.fastq.gz	GU190727-CTD40-210_Riaz_S15_L001_R2_001.fastq.gz				
GU190727-CTD41B-145	Fish-12S-Riaz	not provided	GU190727-CTD41B-145_Riaz_S16	rosel_riaz			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190727-CTD41B-145_Riaz_S16_L001_R1_001.fastq.gz	GU190727-CTD41B-145_Riaz_S16_L001_R2_001.fastq.gz				
GU190728-CTD43-245	Fish-12S-Riaz	not provided	GU190728-CTD43-245_Riaz_S17	rosel_riaz			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190728-CTD43-245_Riaz_S17_L001_R1_001.fastq.gz	GU190728-CTD43-245_Riaz_S17_L001_R2_001.fastq.gz				
GU190728-CTD44B-125	Fish-12S-Riaz	not provided	GU190728-CTD44B-125_Riaz_S18	rosel_riaz			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190728-CTD44B-125_Riaz_S18_L001_R1_001.fastq.gz	GU190728-CTD44B-125_Riaz_S18_L001_R2_001.fastq.gz				
GU190729-CTD46-240	Fish-12S-Riaz	not provided	GU190729-CTD46-240_Riaz_S19	rosel_riaz			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190729-CTD46-240_Riaz_S19_L001_R1_001.fastq.gz	GU190729-CTD46-240_Riaz_S19_L001_R2_001.fastq.gz				
GU190729-CTD47-140	Fish-12S-Riaz	not provided	GU190729-CTD47-140_Riaz_S20	rosel_riaz			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190729-CTD47-140_Riaz_S20_L001_R1_001.fastq.gz	GU190729-CTD47-140_Riaz_S20_L001_R2_001.fastq.gz				
GU190731-CTD50-150	Fish-12S-Riaz	not provided	GU190731-CTD50-150_Riaz_S21	rosel_riaz			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190731-CTD50-150_Riaz_S21_L001_R1_001.fastq.gz	GU190731-CTD50-150_Riaz_S21_L001_R2_001.fastq.gz				
Control9_20190715	Fish-12S-Riaz	not provided	Control9_20190715_Riaz_S22	rosel_riaz			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			Control9_20190715_Riaz_S22_L001_R1_001.fastq.gz	Control9_20190715_Riaz_S22_L001_R2_001.fastq.gz				
Control10_20190721	Fish-12S-Riaz	not provided	Control10_20190721_Riaz_S23	rosel_riaz			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			Control10_20190721_Riaz_S23_L001_R1_001.fastq.gz	Control10_20190721_Riaz_S23_L001_R2_001.fastq.gz				
Control12_20190731	Fish-12S-Riaz	not provided	Control12_20190731_Riaz_S24	rosel_riaz			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			Control12_20190731_Riaz_S24_L001_R1_001.fastq.gz	Control12_20190731_Riaz_S24_L001_R2_001.fastq.gz				
PCRNeg	Fish-12S-Riaz	not provided	PCRNeg_Riaz_S25	rosel_riaz			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			PCRNeg_Riaz_S25_L001_R1_001.fastq.gz	PCRNeg_Riaz_S25_L001_R2_001.fastq.gz				
ExtNeg_20190910	Fish-12S-Riaz	not provided	ExtNeg_20190910_Riaz_S26	rosel_riaz			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			ExtNeg_20190910_Riaz_S26_L001_R1_001.fastq.gz	ExtNeg_20190910_Riaz_S26_L001_R2_001.fastq.gz				
ExtNeg_20190918	Fish-12S-Riaz	not provided	ExtNeg_20190918_Riaz_S27	rosel_riaz			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			ExtNeg_20190918_Riaz_S27_L001_R1_001.fastq.gz	ExtNeg_20190918_Riaz_S27_L001_R2_001.fastq.gz				
ExtNeg_20191028	Fish-12S-Riaz	not provided	ExtNeg_20191028_Riaz_S28	rosel_riaz			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			ExtNeg_20191028_Riaz_S28_L001_R1_001.fastq.gz	ExtNeg_20191028_Riaz_S28_L001_R2_001.fastq.gz				
ExtNeg_20191031	Fish-12S-Riaz	not provided	ExtNeg_20191031_Riaz_S29	rosel_riaz			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			ExtNeg_20191031_Riaz_S29_L001_R1_001.fastq.gz	ExtNeg_20191031_Riaz_S29_L001_R2_001.fastq.gz				
